    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 18/07/15
 -11.72194 -11.77051 -11.83267 -11.87624 -11.91480 -11.95958 -11.99087 -12.02002
 -10.95021 -10.98309 -11.01625 -11.05880 -11.09098 -11.12771 -11.18721 -11.24069
 -11.29909 -11.37605 -11.43095 -11.48436 -11.55448 -11.60802 -11.66232 -11.73411
 -11.78853 -11.84455 -11.91820 -11.97006 -12.01695 -12.07478 -12.11906 -12.16447
 -11.01501 -11.04782 -11.08108 -11.12378 -11.15589 -11.19240 -11.25098 -11.30310
 -11.35984 -11.43563 -11.49081 -11.54428 -11.61495 -11.67021 -11.72703 -11.80252
 -11.85959 -11.91849 -11.99633 -12.05174 -12.10271 -12.16691 -12.21697 -12.26954
 -11.15110 -11.18357 -11.21657 -11.25935 -11.29145 -11.32655 -11.38211 -11.43192
 -11.48555 -11.55763 -11.61116 -11.66338 -11.73397 -11.79036 -11.84866 -11.92713
 -11.98703 -12.04819 -12.12928 -12.18828 -12.24349 -12.31344 -12.36812 -12.42666
 -11.37489 -11.40675 -11.44029 -11.48333 -11.51390 -11.54724 -11.59885 -11.64363
 -11.69257 -11.76005 -11.81105 -11.86160 -11.93087 -11.98689 -12.04502 -12.12427
 -12.18568 -12.24825 -12.33178 -12.39327 -12.45093 -12.52447 -12.58182 -12.64229
 -11.54431 -11.57579 -11.60938 -11.65274 -11.68312 -11.71529 -11.76449 -11.80735
 -11.85377 -11.91728 -11.96557 -12.01476 -12.08351 -12.13922 -12.19726 -12.27582
 -12.33635 -12.39914 -12.48280 -12.54353 -12.60175 -12.67608 -12.73289 -12.79431
 -11.73698 -11.76842 -11.80106 -11.84318 -11.87344 -11.90493 -11.95167 -11.99203
 -12.03644 -12.09792 -12.14468 -12.19263 -12.25995 -12.31439 -12.37097 -12.44833
 -12.50866 -12.57032 -12.65309 -12.71486 -12.77292 -12.84636 -12.90333 -12.96355
 -11.96697 -11.99747 -12.02938 -12.07164 -12.10245 -12.13276 -12.17639 -12.21491
 -12.25759 -12.31681 -12.36202 -12.40874 -12.47434 -12.52720 -12.58259 -12.65819
 -12.71664 -12.77722 -12.85892 -12.91929 -12.97652 -13.04931 -13.10514 -13.16362
 -12.13557 -12.16544 -12.19696 -12.23898 -12.26964 -12.29978 -12.34276 -12.38006
 -12.42065 -12.47769 -12.52245 -12.56804 -12.63183 -12.68421 -12.73910 -12.81383
 -12.87156 -12.93085 -13.01029 -13.06933 -13.12619 -13.19872 -13.25344 -13.31038
 -12.37713 -12.40658 -12.43824 -12.48046 -12.51058 -12.53985 -12.58138 -12.61741
 -12.65664 -12.71192 -12.75539 -12.79956 -12.86129 -12.91219 -12.96596 -13.03955
 -13.09621 -13.15405 -13.23132 -13.28896 -13.34504 -13.41654 -13.46967 -13.52460
 -12.69023 -12.71800 -12.74786 -12.78961 -12.82123 -12.85088 -12.89049 -12.92451
 -12.96234 -13.01632 -13.05861 -13.10180 -13.16217 -13.21159 -13.26348 -13.33437
 -13.38920 -13.44548 -13.52124 -13.57792 -13.63247 -13.70161 -13.75332 -13.80665
 -12.89849 -12.92624 -12.95647 -12.99823 -13.02908 -13.05835 -13.09734 -13.13004
 -13.16660 -13.21989 -13.26219 -13.30476 -13.36330 -13.41127 -13.46215 -13.53215
 -13.58623 -13.64149 -13.71528 -13.77055 -13.82499 -13.89492 -13.94621 -13.99752
 -13.12041 -13.14762 -13.17721 -13.21822 -13.24881 -13.27814 -13.31670 -13.34835
 -13.38422 -13.43606 -13.47655 -13.51893 -13.57706 -13.62269 -13.67242 -13.74226
 -13.79528 -13.84876 -13.92069 -13.97547 -14.02888 -14.09694 -14.14709 -14.19690
 -13.38443 -13.41163 -13.44119 -13.48218 -13.51275 -13.54205 -13.58053 -13.61208
 -13.64786 -13.69961 -13.74003 -13.78240 -13.84055 -13.88616 -13.93588 -14.00573
 -14.05876 -14.11223 -14.18418 -14.23898 -14.29238 -14.36040 -14.41051 -14.46027
 -13.57184 -13.59903 -13.62860 -13.66958 -13.70014 -13.72941 -13.76785 -13.79936
 -13.83509 -13.88680 -13.92721 -13.96958 -14.02774 -14.07336 -14.12308 -14.19294
 -14.24598 -14.29946 -14.37142 -14.42623 -14.47964 -14.54765 -14.59774 -14.64748
 -13.83597 -13.86316 -13.89273 -13.93370 -13.96424 -13.99350 -14.03188 -14.06333
 -14.09901 -14.15067 -14.19107 -14.23344 -14.29161 -14.33724 -14.38697 -14.45684
 -14.50988 -14.56336 -14.63533 -14.69017 -14.74360 -14.81159 -14.86167 -14.91138
 -14.16874 -14.19594 -14.22549 -14.26646 -14.29699 -14.32622 -14.36454 -14.39594
 -14.43155 -14.48315 -14.52353 -14.56590 -14.62409 -14.66973 -14.71946 -14.78933
 -14.84238 -14.89587 -14.96785 -15.02272 -15.07617 -15.14414 -15.19420 -15.24388
 -14.38794 -14.41513 -14.44469 -14.48564 -14.51617 -14.54538 -14.58367 -14.61503
 -14.65060 -14.70216 -14.74253 -14.78490 -14.84310 -14.88875 -14.93849 -15.00836
 -15.06141 -15.11491 -15.18690 -15.24177 -15.29524 -15.36320 -15.41325 -15.46292
 -14.62029 -14.64748 -14.67703 -14.71798 -14.74850 -14.77770 -14.81596 -14.84729
