   36    /N + 0 EMISSIVITY COEFFTS./
  7454.2 A  24  24 /FILMEM = #7_ls#n0/TYPE = EXCIT    /INDM = T/ISEL =    1
 1.00E+01 1.00E+02 1.00E+03 1.00E+04 1.00E+05 1.00E+06 3.00E+06 1.00E+07
 3.00E+07 1.00E+08 3.00E+08 1.00E+09 3.00E+09 1.00E+10 3.00E+10 1.00E+11
 1.00E-74 1.00E-74 1.00E-74 1.00E-74 6.05E-39 5.35E-29 5.07E-21 1.38E-17
 5.01E-15 4.33E-13 3.70E-12 2.93E-11 1.48E-10 3.10E-10 5.64E-10 9.13E-10
 1.16E-09 1.48E-09 1.76E-09 1.85E-09 1.88E-09 1.85E-09 1.80E-09 1.73E-09
 1.00E-74 1.00E-74 1.00E-74 1.00E-74 6.44E-39 5.71E-29 5.42E-21 1.47E-17
 5.32E-15 4.57E-13 3.88E-12 3.03E-11 1.51E-10 3.14E-10 5.68E-10 9.17E-10
 1.17E-09 1.49E-09 1.76E-09 1.85E-09 1.88E-09 1.85E-09 1.80E-09 1.73E-09
 1.00E-74 1.00E-74 1.00E-74 1.00E-74 7.38E-39 6.55E-29 6.21E-21 1.67E-17
 5.99E-15 5.06E-13 4.23E-12 3.22E-11 1.56E-10 3.20E-10 5.75E-10 9.22E-10
 1.17E-09 1.49E-09 1.76E-09 1.85E-09 1.88E-09 1.85E-09 1.80E-09 1.73E-09
 1.00E-74 1.00E-74 1.00E-74 1.00E-74 8.62E-39 7.63E-29 7.18E-21 1.92E-17
 6.77E-15 5.58E-13 4.57E-12 3.38E-11 1.60E-10 3.25E-10 5.79E-10 9.26E-10
 1.17E-09 1.49E-09 1.77E-09 1.85E-09 1.88E-09 1.85E-09 1.80E-09 1.73E-09
 1.00E-74 1.00E-74 1.00E-74 1.00E-74 9.70E-39 8.54E-29 7.97E-21 2.11E-17
 7.37E-15 5.94E-13 4.78E-12 3.49E-11 1.62E-10 3.28E-10 5.82E-10 9.28E-10
 1.18E-09 1.49E-09 1.77E-09 1.85E-09 1.88E-09 1.85E-09 1.80E-09 1.73E-09
 1.00E-74 1.00E-74 1.00E-74 1.00E-74 1.02E-38 8.94E-29 8.31E-21 2.19E-17
 7.62E-15 6.08E-13 4.87E-12 3.53E-11 1.63E-10 3.28E-10 5.82E-10 9.28E-10
 1.18E-09 1.49E-09 1.77E-09 1.86E-09 1.88E-09 1.85E-09 1.80E-09 1.73E-09
 1.00E-74 1.00E-74 1.00E-74 1.00E-74 1.04E-38 9.10E-29 8.44E-21 2.23E-17
 7.71E-15 6.14E-13 4.90E-12 3.54E-11 1.64E-10 3.29E-10 5.83E-10 9.28E-10
 1.18E-09 1.49E-09 1.77E-09 1.86E-09 1.88E-09 1.85E-09 1.80E-09 1.73E-09
 1.00E-74 1.00E-74 1.00E-74 1.00E-74 1.04E-38 9.15E-29 8.48E-21 2.24E-17
 7.74E-15 6.15E-13 4.91E-12 3.55E-11 1.64E-10 3.29E-10 5.83E-10 9.28E-10
 1.18E-09 1.49E-09 1.77E-09 1.86E-09 1.88E-09 1.85E-09 1.80E-09 1.73E-09
 1.00E-74 1.00E-74 1.00E-74 1.00E-74 1.05E-38 9.17E-29 8.50E-21 2.24E-17
 7.76E-15 6.16E-13 4.91E-12 3.55E-11 1.64E-10 3.29E-10 5.83E-10 9.29E-10
 1.18E-09 1.49E-09 1.77E-09 1.86E-09 1.88E-09 1.85E-09 1.80E-09 1.73E-09
 1.00E-74 1.00E-74 1.00E-74 1.11E-48 1.05E-38 9.17E-29 8.50E-21 2.24E-17
