    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 18/07/15
 -26.74912 -26.74495 -26.74188 -26.73818 -26.73389 -26.72613 -26.70795 -26.68791
 -26.66525 -26.63791 -26.62089 -26.60442 -26.56349 -26.48889 -26.33767 -25.99159
 -25.63506 -25.23624 -24.68449 -24.26658 -23.86587 -23.37985 -23.04629 -22.73119
 -21.22968 -21.22511 -21.22188 -21.21839 -21.21453 -21.20778 -21.19161 -21.17284
 -21.15061 -21.12346 -21.10841 -21.09749 -21.08309 -21.06147 -21.01302 -20.86306
 -20.65286 -20.35956 -19.88829 -19.51202 -19.14534 -18.69523 -18.38084 -18.07743
 -16.90424 -16.89956 -16.89580 -16.89098 -16.88606 -16.87935 -16.86475 -16.84760
 -16.82727 -16.80163 -16.78683 -16.77667 -16.76658 -16.75661 -16.73919 -16.68214
 -16.58656 -16.41794 -16.07629 -15.75749 -15.42958 -15.01740 -14.72374 -14.43520
 -14.69884 -14.69434 -14.69125 -14.68748 -14.68319 -14.67790 -14.66627 -14.65154
 -14.63338 -14.60938 -14.59479 -14.58470 -14.57599 -14.56906 -14.55742 -14.52441
 -14.46993 -14.36409 -14.11625 -13.85290 -13.56401 -13.18636 -12.91346 -12.64464
 -12.45010 -12.44589 -12.44186 -12.43754 -12.43483 -12.43125 -12.42174 -12.40927
 -12.39410 -12.37508 -12.36415 -12.35559 -12.34660 -12.34039 -12.33262 -12.31414
 -12.28501 -12.22875 -12.08175 -11.90305 -11.68414 -11.37245 -11.14016 -10.91113
 -10.59497 -10.59203 -10.58974 -10.58726 -10.58492 -10.58167 -10.57462 -10.56649
 -10.55669 -10.54374 -10.53568 -10.52938 -10.52233 -10.51667 -10.50988 -10.49657
 -10.47907 -10.44853 -10.36968 -10.26848 -10.13068  -9.91154  -9.73641  -9.56094
  -9.77037  -9.76833  -9.76703  -9.76516  -9.76273  -9.76028  -9.75537  -9.74895
  -9.74128  -9.73201  -9.72662  -9.72161  -9.71526  -9.71044  -9.70408  -9.69163
  -9.67742  -9.65575  -9.60197  -9.53135  -9.43142  -9.26413  -9.12343  -8.97829
  -9.12553  -9.12407  -9.12288  -9.12098  -9.11885  -9.11672  -9.11336  -9.10936
  -9.10367  -9.09634  -9.09252  -9.08876  -9.08325  -9.07883  -9.07376  -9.06436
  -9.05344  -9.03734  -8.99945  -8.95056  -8.88035  -8.75649  -8.64580  -8.52911
  -8.59367  -8.59252  -8.59175  -8.59067  -8.58938  -8.58812  -8.58597  -8.58316
  -8.57923  -8.57400  -8.57103  -8.56843  -8.56481  -8.56153  -8.55749  -8.55028
  -8.54244  -8.53093  -8.50480  -8.47174  -8.42337  -8.33462  -8.25145  -8.15976
  -8.31318  -8.31238  -8.31176  -8.31087  -8.30992  -8.30898  -8.30711  -8.30473
  -8.30194  -8.29838  -8.29602  -8.29390  -8.29108  -8.28855  -8.28530  -8.27952
  -8.27333  -8.26420  -8.24379  -8.21829  -8.18063  -8.10967  -8.04081  -7.96190
  -8.01818  -8.01777  -8.01724  -8.01661  -8.01627  -8.01561  -8.01415  -8.01266
  -8.01068  -8.00812  -8.00670  -8.00538  -8.00324  -8.00122  -7.99905  -7.99503
  -7.99017  -7.98331  -7.96856  -7.95006  -7.92234  -7.86904  -7.81564  -7.75139
  -7.76846  -7.76834  -7.76845  -7.76770  -7.76615  -7.76535  -7.76504  -7.76443
  -7.76389  -7.76257  -7.76093  -7.76017  -7.75938  -7.75784  -7.75657  -7.75355
  -7.74910  -7.74459  -7.73571  -7.72279  -7.70253  -7.66267  -7.62157  -7.57024
  -7.65606  -7.65592  -7.65580  -7.65577  -7.65575  -7.65544  -7.65505  -7.65482
  -7.65363  -7.65211  -7.65199  -7.65132  -7.64956  -7.64833  -7.64723  -7.64530
  -7.64284  -7.63902  -7.63069  -7.62028  -7.60419  -7.57106  -7.53546  -7.49061
  -7.57481  -7.57472  -7.57462  -7.57466  -7.57461  -7.57383  -7.57264  -7.57252
  -7.57250  -7.57176  -7.57074  -7.57039  -7.57011  -7.56911  -7.56800  -7.56641
  -7.56447  -7.56107  -7.55429  -7.54645  -7.53306  -7.50421  -7.47301  -7.43272
  -7.51614  -7.51605  -7.51585  -7.51589  -7.51604  -7.51523  -7.51388  -7.51386
  -7.51404  -7.51393  -7.51354  -7.51305  -7.51221  -7.51130  -7.51024  -7.50903
  -7.50810  -7.50609  -7.50062  -7.49340  -7.48209  -7.45783  -7.43043  -7.39451
  -7.49167  -7.49166  -7.49174  -7.49165  -7.49124  -7.49069  -7.49025  -7.49022
  -7.49010  -7.49007  -7.49016  -7.48955  -7.48841  -7.48796  -7.48729  -7.48605
  -7.48491  -7.48295  -7.47827  -7.47218  -7.46224  -7.44032  -7.41506  -7.38110
  -7.47770  -7.47757  -7.47711  -7.47633  -7.47597  -7.47590  -7.47594  -7.47589
  -7.47590  -7.47610  -7.47611  -7.47536  -7.47453  -7.47476  -7.47426  -7.47287
  -7.47182  -7.46963  -7.46563  -7.46140  -7.45273  -7.43261  -7.41013  -7.37926
  -7.48443  -7.48439  -7.48432  -7.48427  -7.48428  -7.48424  -7.48431  -7.48436
  -7.48371  -7.48276  -7.48282  -7.48298  -7.48253  -7.48175  -7.48147  -7.48130
  -7.48046  -7.47903  -7.47579  -7.47149  -7.46444  -7.44812  -7.42803  -7.39949
  -7.49777  -7.49775  -7.49773  -7.49771  -7.49771  -7.49771  -7.49769  -7.49768
  -7.49770  -7.49772  -7.49770  -7.49780  -7.49741  -7.49655  -7.49627  -7.49615
  -7.49526  -7.49380  -7.49090  -7.48730  -7.48109  -7.46591  -7.44709  -7.42102
  -7.51587  -7.51585  -7.51583  -7.51582  -7.51581  -7.51581  -7.51580  -7.51579
  -7.51582  -7.51584  -7.51582  -7.51594  -7.51552  -7.51462  -7.51438  -7.51420
  -7.51321  -7.51227  -7.51002  -7.50630  -7.50084  -7.48770  -7.47038  -7.44602
  -7.53883  -7.53883  -7.53891  -7.53898  -7.53895  -7.53891  -7.53897  -7.53900
  -7.53865  -7.53810  -7.53811  -7.53837  -7.53794  -7.53691  -7.53678  -7.53657
  -7.53541  -7.53532  -7.53393  -7.52969  -7.52507  -7.51471  -7.49917  -7.47622
  -7.55605  -7.55607  -7.55620  -7.55634  -7.55629  -7.55622  -7.55633  -7.55639
  -7.55578  -7.55482  -7.55485  -7.55522  -7.55477  -7.55364  -7.55359  -7.55337
  -7.55207  -7.55259  -7.55181  -7.54720  -7.54317  -7.53480  -7.52052  -7.49858
  -7.58121  -7.58126  -7.58148  -7.58171  -7.58163  -7.58152  -7.58170  -7.58180
  -7.58081  -7.57928  -7.57935  -7.57985  -7.57939  -7.57813  -7.57817  -7.57793
  -7.57645  -7.57782  -7.57791  -7.57277  -7.56958  -7.56400  -7.55151  -7.53099
  -7.61391  -7.61399  -7.61432  -7.61467  -7.61454  -7.61438  -7.61466  -7.61480
  -7.61333  -7.61109  -7.61120  -7.61188  -7.61140  -7.60997  -7.61014  -7.60985
  -7.60816  -7.61060  -7.61177  -7.60598  -7.60384  -7.60177  -7.59153  -7.57282
  -7.63585  -7.63594  -7.63635  -7.63677  -7.63661  -7.63642  -7.63676  -7.63692
  -7.63515  -7.63244  -7.63257  -7.63337  -7.63288  -7.63134  -7.63160  -7.63127
  -7.62943  -7.63258  -7.63446  -7.62824  -7.62679  -7.62703  -7.61828  -7.60078
  -7.65931  -7.65943  -7.65991  -7.66041  -7.66023  -7.66000  -7.66040  -7.66060
  -7.65850  -7.65529  -7.65545  -7.65638  -7.65587  -7.65422  -7.65455  -7.65420
  -7.65219  -7.65609  -7.65873  -7.65206  -7.65134  -7.65402  -7.64686  -7.63063
  -7.68618  -7.68632  -7.68689  -7.68747  -7.68725  -7.68698  -7.68746  -7.68769
  -7.68522  -7.68145  -7.68165  -7.68271  -7.68219  -7.68041  -7.68084  -7.68043
  -7.67826  -7.68300  -7.68649  -7.67932  -7.67943  -7.68488  -7.67952  -7.66475
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 3   / DATE= 18/07/15
 -73.69897 -73.69897 -73.69897 -73.69897 -73.69897 -73.69897 -73.69897 -73.69897
 -73.69897 -73.69897 -73.69897 -73.69897 -73.69897 -73.69897 -73.69897 -73.69897
 -73.69897 -73.69897 -73.69897 -73.69897 -73.69897 -73.69897 -73.69897 -73.69897
 -73.69897 -73.69897 -73.69897 -73.69897 -73.69897 -73.69897 -73.69897 -73.69895
 -73.69889 -73.69857 -73.69774 -73.69531 -73.68403 -73.65623 -73.32062 -72.72033
 -72.22362 -71.68700 -70.92226 -70.30585 -69.66232 -68.77831 -68.08754 -67.40431
 -49.81712 -49.81712 -49.81711 -49.81704 -49.81682 -49.81637 -49.81485 -49.81142
 -49.80213 -49.77086 -49.72267 -49.64315 -49.46376 -49.22891 -48.89575 -48.33157
 -47.85373 -47.35333 -46.65991 -46.10879 -45.53188 -44.72785 -44.09445 -43.45595
 -38.05022 -38.05013 -38.04992 -38.04933 -38.04847 -38.04696 -38.04333 -38.03915
 -38.03493 -38.03322 -38.03678 -38.04101 -38.03178 -37.99172 -37.90243 -37.67401
 -37.38543 -37.00031 -36.39013 -35.88754 -35.36331 -34.63405 -34.05143 -33.45089
 -29.20186 -29.20041 -29.19765 -29.18963 -29.17681 -29.15353 -29.09863 -29.03882
 -28.97174 -28.89357 -28.85263 -28.82730 -28.80947 -28.80436 -28.80126 -28.78482
 -28.74112 -28.64176 -28.36536 -28.03005 -27.61272 -26.99826 -26.49680 -25.96788
 -22.27388 -22.26979 -22.26189 -22.23930 -22.20502 -22.14699 -22.02495 -21.90656
 -21.78641 -21.66013 -21.59840 -21.56155 -21.53656 -21.52710 -21.52159 -21.51696
 -21.51157 -21.50047 -21.46374 -21.39112 -21.24582 -20.91029 -20.55795 -20.14331
 -18.77756 -18.77382 -18.76637 -18.74485 -18.71241 -18.65760 -18.54148 -18.42730
 -18.31031 -18.18638 -18.12535 -18.08864 -18.06356 -18.05428 -18.04896 -18.04410
 -18.03944 -18.03202 -18.01300 -17.98008 -17.91424 -17.73624 -17.50921 -17.19815
 -15.23959 -15.23715 -15.23266 -15.22039 -15.20199 -15.17008 -15.09815 -15.02230
 -14.94005 -14.84801 -14.80146 -14.77337 -14.75322 -14.74488 -14.73912 -14.73208
 -14.72579 -14.71759 -14.70104 -14.67943 -14.63977 -14.53502 -14.40015 -14.19778
 -12.36648 -12.36518 -12.36289 -12.35681 -12.34764 -12.33144 -12.29387 -12.25276
 -12.20657 -12.15388 -12.12630 -12.10844 -12.09409 -12.08709 -12.08111 -12.07206
 -12.06438 -12.05502 -12.03670 -12.01610 -11.98539 -11.91802 -11.83570 -11.70897
